frame,person_id,class,bbox,confidence
31,2,person,"[1204.42, 1644.71, 1435.8, 2392.26]",0.83
31,3,person,"[0.0, 1572.53, 334.82, 2688.66]",0.9
31,4,person,"[1836.72, 1684.14, 2016.86, 2128.38]",0.77
31,6,person,"[1006.81, 1709.14, 1196.8, 2348.96]",0.8
31,7,person,"[856.18, 1704.23, 1006.81, 2157.84]",0.75
31,8,person,"[677.49, 1700.33, 822.21, 2087.22]",0.56
32,1,person,"[395.51, 1647.97, 746.72, 2659.35]",0.86
32,2,person,"[1205.67, 1641.65, 1436.49, 2386.22]",0.83
32,3,person,"[0.0, 1567.51, 333.56, 2698.04]",0.89
32,4,person,"[1842.24, 1683.95, 2021.27, 2128.46]",0.76
32,6,person,"[1004.45, 1706.18, 1196.32, 2348.98]",0.79
32,7,person,"[857.63, 1702.9, 1006.65, 2151.88]",0.77
32,8,person,"[677.4, 1702.05, 820.31, 2083.58]",0.61
32,9,backpack,"[1013.25, 1798.92, 1173.91, 2023.61]",0.4
33,1,person,"[396.81, 1641.33, 740.78, 2629.52]",0.85
33,2,person,"[1206.79, 1638.84, 1439.51, 2387.56]",0.82
33,3,person,"[0.0, 1564.96, 333.72, 2704.41]",0.89
33,4,person,"[1845.61, 1681.63, 2022.69, 2126.08]",0.76
33,6,person,"[1003.24, 1706.57, 1196.78, 2352.83]",0.79
33,7,person,"[855.84, 1703.34, 1004.64, 2152.22]",0.75
33,8,person,"[677.3, 1702.12, 818.78, 2078.75]",0.59
33,9,backpack,"[1014.1, 1796.41, 1175.75, 2022.08]",0.28
34,1,person,"[390.47, 1640.38, 740.36, 2648.69]",0.87
34,2,person,"[1205.89, 1637.16, 1442.74, 2397.76]",0.84
34,3,person,"[0.0, 1566.01, 341.35, 2715.44]",0.89
34,4,person,"[1852.49, 1677.29, 2028.6, 2122.68]",0.78
34,6,person,"[1001.87, 1704.03, 1197.81, 2356.7]",0.77
34,7,person,"[855.43, 1699.96, 1005.06, 2152.85]",0.73
34,8,person,"[675.51, 1698.9, 817.48, 2076.69]",0.6
34,9,backpack,"[1014.97, 1799.09, 1177.53, 2024.41]",0.44
35,1,person,"[391.14, 1637.63, 736.57, 2634.75]",0.87
35,2,person,"[1206.22, 1637.07, 1446.55, 2406.9]",0.84
35,3,person,"[9.87, 1565.36, 357.36, 2721.55]",0.9
35,4,person,"[1857.52, 1675.66, 2034.1, 2124.65]",0.82
35,6,person,"[1004.68, 1710.09, 1197.23, 2348.66]",0.76
35,7,person,"[854.6, 1695.97, 1003.76, 2149.08]",0.73
35,8,person,"[673.77, 1695.77, 818.84, 2081.59]",0.57
35,9,backpack,"[1013.56, 1793.09, 1179.2, 2022.96]",0.32
36,1,person,"[389.31, 1636.22, 733.41, 2630.91]",0.87
36,2,person,"[1206.99, 1641.03, 1448.28, 2412.48]",0.84
36,3,person,"[21.17, 1572.37, 374.84, 2732.24]",0.89
36,4,person,"[1860.62, 1674.2, 2037.38, 2127.29]",0.81
36,6,person,"[1008.26, 1711.75, 1196.14, 2331.77]",0.75
36,7,person,"[851.77, 1695.89, 1003.64, 2158.02]",0.74
36,8,person,"[672.27, 1694.02, 818.26, 2081.85]",0.6
36,9,backpack,"[1017.19, 1801.22, 1178.99, 2024.93]",0.35
37,1,person,"[384.5, 1634.53, 725.99, 2621.64]",0.88
37,2,person,"[1209.42, 1644.84, 1449.83, 2410.76]",0.84
37,3,person,"[28.43, 1582.11, 386.51, 2736.73]",0.89
37,4,person,"[1862.5, 1674.3, 2037.75, 2126.76]",0.8
37,6,person,"[1009.4, 1719.0, 1195.13, 2328.81]",0.75
37,7,person,"[850.77, 1698.25, 1004.13, 2165.0]",0.74
37,8,person,"[670.88, 1694.61, 818.33, 2086.5]",0.59
37,9,backpack,"[1020.2, 1819.38, 1171.64, 2027.68]",0.45
37,51,person,"[270.73, 1721.52, 381.66, 2109.25]",0.47
38,1,person,"[381.31, 1637.48, 727.46, 2637.95]",0.88
38,2,person,"[1209.22, 1650.16, 1451.06, 2420.55]",0.85
38,3,person,"[30.19, 1587.37, 390.12, 2731.67]",0.89
38,4,person,"[1865.71, 1674.87, 2040.99, 2131.43]",0.81
38,6,person,"[1008.53, 1722.51, 1197.93, 2343.83]",0.75
38,7,person,"[848.38, 1703.53, 1002.35, 2171.71]",0.74
38,8,person,"[671.55, 1695.3, 819.09, 2090.4]",0.56
38,9,backpack,"[1021.81, 1819.03, 1177.29, 2031.54]",0.36
38,51,person,"[268.8, 1735.63, 378.08, 2117.84]",0.26
39,1,person,"[377.85, 1638.69, 723.86, 2639.84]",0.87
39,2,person,"[1208.61, 1654.32, 1451.05, 2428.31]",0.84
39,3,person,"[29.57, 1589.64, 394.32, 2735.12]",0.9
39,4,person,"[1868.25, 1676.58, 2042.33, 2134.59]",0.81
39,6,person,"[1010.71, 1726.12, 1199.76, 2343.38]",0.75
39,7,person,"[847.16, 1704.51, 998.62, 2163.62]",0.78
39,8,person,"[671.53, 1691.04, 822.71, 2098.11]",0.55
39,9,backpack,"[1020.55, 1814.7, 1184.05, 2038.63]",0.43
39,51,person,"[270.32, 1739.48, 380.65, 2123.42]",0.35
